Basin Id|Segment ID|On Segment|RFA/Tag ID|Station ID|End Date|End Time|End Depth|Start Date|Start Time|Start Depth|Composite Category|Composite Type|Comment|Submitting Entity|Collecting Entity|Monitoring Type|Parameter Code|Greater Than/Less Than|Value|MDL|LOQ|Data Qualifier|Verify Flag|Validation Flag|Rating Flag|Nelac Status|Exempt Status
22|2202|Y|O0N3454|13079|12/14/2016|11:10|0.3|||||||NR|NR|RT|31699||310|||||||USABLE|
22|2202|Y|O0N3360|13079|09/27/2016|11:15|0.3||||||Lab error on bacteria sample|NR|NR|RT|00061||324|||||||USABLE|
22|2202|Y|O0N3360|13079|09/27/2016|11:15|0.3||||||Lab error on bacteria sample|NR|NR|RT|00665||1.07|||||||USABLE|
22|2202|Y|O0N3009|13079|02/10/2016|10:48|0.3|||||||NR|NR|RT|01351||2|||||||USABLE|
22|2202|Y|O0N3009|13079|02/10/2016|10:48|0.3|||||||NR|NR|RT|00625||1.9|||||||USABLE|
22|2202|Y|O0N2819|13079|09/22/2015|10:36|0.3||||||No lab analysis - temp out of compliance - Greyhound failed to deliver samples next day, No total depth due the current being too swift|NR|NR|RT|31699||640|||||||USABLE|
22|2202|Y|O0N2819|13079|09/22/2015|10:36|0.3||||||No lab analysis - temp out of compliance - Greyhound failed to deliver samples next day, No total depth due the current being too swift|NR|NR|RT|00061||253|||||||USABLE|
22|2202|Y|O0N2819|13079|09/22/2015|10:36|0.3||||||No lab analysis - temp out of compliance - Greyhound failed to deliver samples next day, No total depth due the current being too swift|NR|NR|RT|00665||0.761|||||||USABLE|
22|2202|Y|O0N2819|13079|09/22/2015|10:36|0.3||||||No lab analysis - temp out of compliance - Greyhound failed to deliver samples next day, No total depth due the current being too swift|NR|NR|RT|89835||1|||||||USABLE|
22|2202|Y|O0N2819|13079|09/22/2015|10:36|0.3||||||No lab analysis - temp out of compliance - Greyhound failed to deliver samples next day, No total depth due the current being too swift|NR|NR|RT|01351||3|||||||USABLE|
22|2202|Y|O0N2819|13079|09/22/2015|10:36|0.3||||||No lab analysis - temp out of compliance - Greyhound failed to deliver samples next day, No total depth due the current being too swift|NR|NR|RT|00300||8.3|||||||USABLE|
22|2202|Y|O0N3589|13079|03/29/2017|10:35|0.3||||||Lab error, Entero was tested instead of E. Coli. result: 158|NR|NR|RT|72053||16|||||||USABLE|
22|2202|Y|O0N3589|13079|03/29/2017|10:35|0.3||||||Lab error, Entero was tested instead of E. Coli. result: 158|NR|NR|RT|00665||0.757|||||||USABLE|
22|2202|Y|O0N3589|13079|03/29/2017|10:35|0.3||||||Lab error, Entero was tested instead of E. Coli. result: 158|NR|NR|RT|00010||25.3|||||||USABLE|
22|2202|Y|O0N3228|13079|06/22/2016|10:45|0.3|||||||NR|NR|RT|00061||227|||||||USABLE|
22|2202|Y|1562984|13074|09/29/2016|10:45|0.3||||||No bacteria measurements. Sample submitted to lab on Friday- holding time expired before Monday.|WC|FO|RT|00625||0.83|0.1||||||USABLE|
22|2202|Y|1608588|13074|11/30/2017|10:30|0.3||||||Sample delivered to lab at end of week and bacteria could not be processed. DMA|WC|FO|RT|00665||1.16|0.05||||||USABLE|
22|2202|Y|1628578|13074|03/14/2018|10:50|0.3|||||||WC|FO|RT|00530||82|1||||||USABLE|
22|2202|Y|1628578|13074|03/14/2018|10:50|0.3|||||||WC|FO|RT|00630||5.88|0.04||||||USABLE|
22|2202|Y|O0N4362|13079|07/18/2018|10:40|0.3|||||||NR|NR|RT|00061||364|||||||USABLE|
22|2202|Y|O0N5014|13079|07/16/2019|08:50|0.3||||||Current too swift for a profile|NR|NR|RT|00530||174|||||||USABLE|
22|2202|Y|O0N5014|13079|07/16/2019|08:50|0.3||||||Current too swift for a profile|NR|NR|RT|31699||170|||||||USABLE|
22|2202|Y|O0N5014|13079|07/16/2019|08:50|0.3||||||Current too swift for a profile|NR|NR|RT|00610|<|0.1|||||||USABLE|
22|2202|Y|O0N4122|13079|05/01/2018|10:20|0.3|||||||NR|NR|RT|00530||171|||||||USABLE|
22|2202|Y|O0N4122|13079|05/01/2018|10:20|0.3|||||||NR|NR|RT|00665||0.727|||||||USABLE|
22|2202|Y|O0N4038|13079|12/13/2017|10:40|0.3|||||||NR|NR|RT|00400||7.8|||||||USABLE|
22|2202|Y|O0N4038|13079|12/13/2017|10:40|0.3|||||||NR|NR|RT|00680||3.51|||||||USABLE|
22|2202|Y|O0N4038|13079|12/13/2017|10:40|0.3|||||||NR|NR|RT|31699||110|||||||USABLE|
22|2202|Y|O0N4598|13079|01/29/2019|08:55|0.3|||||||NR|NR|RT|00610|<|0.1|||||||USABLE|
22|2202|Y|O0N4598|13079|01/29/2019|08:55|0.3|||||||NR|NR|RT|00400||7.4|||||||USABLE|
22|2202|Y|1172844|13074|02/25/2010|10:00|0.3|||||||WC|FO|RT|00610||0.24|0.01||||||USABLE|
22|2202|Y|1185585|13074|05/06/2010|11:00|0.3|||||||WC|FO|RT|00665||0.64|0.05||||||USABLE|
22|2202|Y|1185585|13074|05/06/2010|11:00|0.3|||||||WC|FO|RT|00680||6|1||||||USABLE|
22|2202|Y|1202968|13074|08/31/2010|11:10|0.3|||||||WC|FO|RT|00625||1.11|0.1||||||USABLE|
22|2202|Y|O0N0447|13074|04/08/2009|10:54|0.3||||||no profile, current too swift, trash in and around water|NR|NR|RT|00010||19.9|||||||USABLE|
22|2202|Y|O0N0557|13074|09/15/2009|10:50|0.3||||||no profile, current too swift, 2 men fishing from bank|NR|NR|RT|74069||610|||||||USABLE|
22|2202|Y|O0N0557|13074|09/15/2009|10:50|0.3||||||no profile, current too swift, 2 men fishing from bank|NR|NR|RT|00094||2970|||||||USABLE|
22|2202|Y|O0N0551|13074|10/14/2009|10:51|0.3||||||trash, no profile - current too swift, many softshell turtle in water|NR|NR|RT|00094||5030|||||||USABLE|
22|2202|Y|O0N0551|13074|10/14/2009|10:51|0.3||||||trash, no profile - current too swift, many softshell turtle in water|NR|NR|RT|72053||5|||||||USABLE|
22|2202|Y|O0N0570|13074|12/15/2009|11:01|0.3||||||wind appears to be pushing water against current, no profile|NR|NR|RT|00300||7.7|||||||USABLE|
22|2202|Y|O0N0470|13074|07/14/2009|10:45|0.3||||||trash, FS1|NR|NR|RT|31648||310|||||||USABLE|
22|2202|Y|O0N0265|13074|01/13/2009|10:34|0.3||||||no profile done, current too swift, FS1|NR|NR|RT|00400||7.9|||||||USABLE|
22|2202|Y|O0N0453|13074|05/13/2009|10:45|0.3||||||no profile, current too swift|NR|NR|RT|00094||3320|||||||USABLE|
22|2202|Y|O0N0453|13074|05/13/2009|10:45|0.3||||||no profile, current too swift|NR|NR|RT|31648||220|||||||USABLE|
22|2202|Y|1240379|13074|02/23/2011|10:55|0.3|||||||WC|FO|RT|00665||0.52|0.05||||||USABLE|
22|2202|Y|1240405|13074|05/10/2011|09:35|0.3|||||||WC|FO|RT|00625||1.11|0.1||||||USABLE|
22|2202|Y|1240405|13074|05/10/2011|09:35|0.3|||||||WC|FO|RT|00680||6|1||||||USABLE|
22|2202|Y|1240450|13074|08/10/2011|10:55|0.3|||||||WC|FO|RT|00610||0.06|0.01||||||USABLE|
22|2202|Y|1274349|13074|07/14/2011|13:30|0.3|||||||WC|FO|RT|00630||4.6|0.04||||||USABLE|
22|2202|Y|1274349|13074|07/14/2011|13:30|0.3|||||||WC|FO|RT|00610|<|0.05|0.01||||||USABLE|
22|2202|Y|1286116|13074|11/15/2011|10:45|0.3|||||||WC|FO|RT|00610||0.43|0.01||||||USABLE|
22|2202|Y|1286116|13074|11/15/2011|10:45|0.3|||||||WC|FO|RT|00665||0.91|0.05||||||USABLE|
22|2202|Y|O0N1534|13079|04/11/2012|15:36|0.3||||||trash, no profile - current too swift|NR|NR|RT|00300||9.4|||||||USABLE|
22|2202|Y|O0N1534|13079|04/11/2012|15:36|0.3||||||trash, no profile - current too swift|NR|NR|RT|89835||1|||||||USABLE|
22|2202|Y|O0N1375|13079|11/29/2011|17:27|0.3||||||trash|NR|NR|RT|00680||3.98|||||||USABLE|
22|2202|Y|O0N1853|13079|05/07/2013|11:20|0.3||||||trash|NR|NR|RT|00300||9.2|||||||USABLE|
22|2202|Y|O0N1853|13079|05/07/2013|11:20|0.3||||||trash|NR|NR|RT|01351||3|||||||USABLE|
22|2202|Y|O0N1700|13079|11/13/2012|10:43|0.3||||||trash|NR|NR|RT|00625||1.4|||||||USABLE|
22|2202|Y|O0N1700|13079|11/13/2012|10:43|0.3||||||trash|NR|NR|RT|89835||1|||||||USABLE|
22|2202|Y|O0N1700|13079|11/13/2012|10:43|0.3||||||trash|NR|NR|RT|00010||19.4|||||||USABLE|
22|2202|Y|O0N1700|13079|11/13/2012|10:43|0.3||||||trash|NR|NR|RT|72053||19||||Y|||USABLE|
22|2202|Y|O0N1649|13079|08/16/2012|10:40|0.3||||||trash|NR|NR|RT|00665||0.817|||||||USABLE|
22|2202|Y|O0N1649|13079|08/16/2012|10:40|0.3||||||trash|NR|NR|RT|00625||1.34|||||||USABLE|
22|2202|Y|O0N1935|13079|08/20/2013|11:06|0.3||||||Very turbid; a large rainshower went through approximately 1 hour before we arrived.|NR|NR|RT|00630||3.05|||||||USABLE|
